TIME,GEO,AIRPOL,INDIC_NV,UNIT,Value,Flag and Footnotes
2009,European Union - 27 countries (from 2020),Carbon dioxide,All NACE branches plus households,Tonne,"3,517,521,205",s
2009,European Union - 27 countries (from 2020),Carbon dioxide,Production and consumption activities abroad by residents,Tonne,"230,946,728",s
2009,European Union - 27 countries (from 2020),Carbon dioxide,Fishing vessels operated abroad by residents,Tonne,"615,933",
2009,European Union - 27 countries (from 2020),Carbon dioxide,Production and consumption activities on the territory by non-residents,Tonne,"58,821,874",s
2009,European Union - 27 countries (from 2020),Carbon dioxide,Adjustments and statistical discrepancy,Tonne,"-9,812,829",
2009,European Union - 27 countries (from 2020),Carbon dioxide,Total emissions as reported to international conventions (UNFCCC and CLRTAP),Tonne,"3,335,583,522",
2009,European Union - 27 countries (from 2020),Methane,All NACE branches plus households,Tonne,"17,311,598.56",s
2009,European Union - 27 countries (from 2020),Methane,Production and consumption activities abroad by residents,Tonne,"8,472.82",
2009,European Union - 27 countries (from 2020),Methane,Fishing vessels operated abroad by residents,Tonne,58.27,
2009,European Union - 27 countries (from 2020),Methane,Production and consumption activities on the territory by non-residents,Tonne,"3,019.62",
2009,European Union - 27 countries (from 2020),Methane,Adjustments and statistical discrepancy,Tonne,"-11,059.42",
2009,European Union - 27 countries (from 2020),Methane,Total emissions as reported to international conventions (UNFCCC and CLRTAP),Tonne,"17,295,085.95",
2009,European Union - 27 countries (from 2020),Nitrous oxide,All NACE branches plus households,Tonne,"763,699.23",s
2009,European Union - 27 countries (from 2020),Nitrous oxide,Production and consumption activities abroad by residents,Tonne,"7,070.17",
2009,European Union - 27 countries (from 2020),Nitrous oxide,Fishing vessels operated abroad by residents,Tonne,16.56,
2009,European Union - 27 countries (from 2020),Nitrous oxide,Production and consumption activities on the territory by non-residents,Tonne,"1,764.23",
2009,European Union - 27 countries (from 2020),Nitrous oxide,Adjustments and statistical discrepancy,Tonne,"4,447.81",
2009,European Union - 27 countries (from 2020),Nitrous oxide,Total emissions as reported to international conventions (UNFCCC and CLRTAP),Tonne,"762,841.11",
2009,European Union - 28 countries (2013-2020),Carbon dioxide,All NACE branches plus households,Tonne,"4,062,941,233",s
2009,European Union - 28 countries (2013-2020),Carbon dioxide,Production and consumption activities abroad by residents,Tonne,"262,997,237",s
2009,European Union - 28 countries (2013-2020),Carbon dioxide,Fishing vessels operated abroad by residents,Tonne,"615,933",
2009,European Union - 28 countries (2013-2020),Carbon dioxide,Production and consumption activities on the territory by non-residents,Tonne,"79,654,263",s
