"SMOKING","GEO","TIME","DEG_URB","SEX","AGE","UNIT","Value","Flag and Footnotes"
"Non-smoker","European Union - 27 countries (from 2020)","2014","Total","Total","Total","Percentage","75.1",""
"Non-smoker","European Union - 28 countries (2013-2020)","2014","Total","Total","Total","Percentage","76.1",""
"Non-smoker","Belgium","2014","Total","Total","Total","Percentage","77.0","u"
"Non-smoker","Bulgaria","2014","Total","Total","Total","Percentage","65.2",""
"Non-smoker","Czechia","2014","Total","Total","Total","Percentage","71.3",""
"Non-smoker","Denmark","2014","Total","Total","Total","Percentage","79.1",""
"Non-smoker","Germany (until 1990 former territory of the FRG)","2014","Total","Total","Total","Percentage","78.3",""
"Non-smoker","Estonia","2014","Total","Total","Total","Percentage","72.4",""
"Non-smoker","Ireland","2014","Total","Total","Total","Percentage","78.0",""
"Non-smoker","Greece","2014","Total","Total","Total","Percentage","67.4",""
"Non-smoker","Spain","2014","Total","Total","Total","Percentage","74.7",""
"Non-smoker","France","2014","Total","Total","Total","Percentage","71.7",""
"Non-smoker","Croatia","2014","Total","Total","Total","Percentage","71.3",""
"Non-smoker","Italy","2014","Total","Total","Total","Percentage","77.3",""
"Non-smoker","Cyprus","2014","Total","Total","Total","Percentage","70.9",""
"Non-smoker","Latvia","2014","Total","Total","Total","Percentage","70.5",""
"Non-smoker","Lithuania","2014","Total","Total","Total","Percentage","75.0",""
"Non-smoker","Luxembourg","2014","Total","Total","Total","Percentage","79.5",""
"Non-smoker","Hungary","2014","Total","Total","Total","Percentage","72.5",""
"Non-smoker","Malta","2014","Total","Total","Total","Percentage","75.9",""
"Non-smoker","Netherlands","2014","Total","Total","Total","Percentage","74.8",""
"Non-smoker","Austria","2014","Total","Total","Total","Percentage","70.0",""
"Non-smoker","Poland","2014","Total","Total","Total","Percentage","73.9",""
"Non-smoker","Portugal","2014","Total","Total","Total","Percentage","80.0",""
"Non-smoker","Romania","2014","Total","Total","Total","Percentage","74.3",""
"Non-smoker","Slovenia","2014","Total","Total","Total","Percentage","75.8",""
"Non-smoker","Slovakia","2014","Total","Total","Total","Percentage","70.5",""
"Non-smoker","Finland","2014","Total","Total","Total","Percentage","80.8",""
"Non-smoker","Sweden","2014","Total","Total","Total","Percentage","83.3",""
"Non-smoker","United Kingdom","2014","Total","Total","Total","Percentage","82.7",""
"Non-smoker","Iceland","2014","Total","Total","Total","Percentage","81.2",""
"Non-smoker","Norway","2014","Total","Total","Total","Percentage","79.9",""
"Non-smoker","Turkey","2014","Total","Total","Total","Percentage","67.5",""
"Daily smoker","European Union - 27 countries (from 2020)","2014","Total","Total","Total","Percentage","19.9",""
"Daily smoker","European Union - 28 countries (2013-2020)","2014","Total","Total","Total","Percentage","19.2",""
"Daily smoker","Belgium","2014","Total","Total","Total","Percentage","18.9","u"
"Daily smoker","Bulgaria","2014","Total","Total","Total","Percentage","28.2",""
"Daily smoker","Czechia","2014","Total","Total","Total","Percentage","21.5",""
"Daily smoker","Denmark","2014","Total","Total","Total","Percentage","13.8",""
"Daily smoker","Germany (until 1990 former territory of the FRG)","2014","Total","Total","Total","Percentage","15.9",""
"Daily smoker","Estonia","2014","Total","Total","Total","Percentage","23.5",""
"Daily smoker","Ireland","2014","Total","Total","Total","Percentage","14.6",""
