"DURATION","GEO","TIME","DEG_URB","SEX","AGE","UNIT","Value","Flag and Footnotes"
"Less than 1 hour","European Union - 27 countries (from 2020)","2014","Total","Total","Total","Percentage","11.4",""
"Less than 1 hour","European Union - 28 countries (2013-2020)","2014","Total","Total","Total","Percentage","10.7",""
"Less than 1 hour","Belgium","2014","Total","Total","Total","Percentage","10.2","u"
"Less than 1 hour","Bulgaria","2014","Total","Total","Total","Percentage","20.5",""
"Less than 1 hour","Czechia","2014","Total","Total","Total","Percentage","19.0",""
"Less than 1 hour","Denmark","2014","Total","Total","Total","Percentage","8.4",""
"Less than 1 hour","Germany (until 1990 former territory of the FRG)","2014","Total","Total","Total","Percentage","9.2",""
"Less than 1 hour","Estonia","2014","Total","Total","Total","Percentage","10.8",""
"Less than 1 hour","Ireland","2014","Total","Total","Total","Percentage","9.4",""
"Less than 1 hour","Greece","2014","Total","Total","Total","Percentage","26.4",""
"Less than 1 hour","Spain","2014","Total","Total","Total","Percentage","7.4",""
"Less than 1 hour","France","2014","Total","Total","Total","Percentage","10.5",""
"Less than 1 hour","Croatia","2014","Total","Total","Total","Percentage","18.5",""
"Less than 1 hour","Italy","2014","Total","Total","Total","Percentage","11.2",""
"Less than 1 hour","Cyprus","2014","Total","Total","Total","Percentage","14.8",""
"Less than 1 hour","Latvia","2014","Total","Total","Total","Percentage","16.1",""
"Less than 1 hour","Lithuania","2014","Total","Total","Total","Percentage","13.8",""
"Less than 1 hour","Luxembourg","2014","Total","Total","Total","Percentage","9.4",""
"Less than 1 hour","Hungary","2014","Total","Total","Total","Percentage","3.1",""
"Less than 1 hour","Malta","2014","Total","Total","Total","Percentage","18.4",""
"Less than 1 hour","Netherlands","2014","Total","Total","Total","Percentage","14.1",""
"Less than 1 hour","Austria","2014","Total","Total","Total","Percentage","13.6",""
"Less than 1 hour","Poland","2014","Total","Total","Total","Percentage","15.0",""
"Less than 1 hour","Portugal","2014","Total","Total","Total","Percentage","3.7",""
"Less than 1 hour","Romania","2014","Total","Total","Total","Percentage","19.6",""
"Less than 1 hour","Slovenia","2014","Total","Total","Total","Percentage","9.9",""
"Less than 1 hour","Slovakia","2014","Total","Total","Total","Percentage","17.5",""
"Less than 1 hour","Finland","2014","Total","Total","Total","Percentage","4.8",""
"Less than 1 hour","Sweden","2014","Total","Total","Total","Percentage","3.5",""
"Less than 1 hour","United Kingdom","2014","Total","Total","Total","Percentage","5.3",""
"Less than 1 hour","Iceland","2014","Total","Total","Total","Percentage","5.0",""
"Less than 1 hour","Norway","2014","Total","Total","Total","Percentage","6.8",""
"Less than 1 hour","Turkey","2014","Total","Total","Total","Percentage","12.4",""
"1 hour or over","European Union - 27 countries (from 2020)","2014","Total","Total","Total","Percentage","11.2",""
"1 hour or over","European Union - 28 countries (2013-2020)","2014","Total","Total","Total","Percentage","10.8",""
"1 hour or over","Belgium","2014","Total","Total","Total","Percentage","14.5","u"
"1 hour or over","Bulgaria","2014","Total","Total","Total","Percentage","20.0",""
"1 hour or over","Czechia","2014","Total","Total","Total","Percentage","11.0",""
"1 hour or over","Denmark","2014","Total","Total","Total","Percentage","6.7",""
"1 hour or over","Germany (until 1990 former territory of the FRG)","2014","Total","Total","Total","Percentage","7.7",""
"1 hour or over","Estonia","2014","Total","Total","Total","Percentage","10.4",""
"1 hour or over","Ireland","2014","Total","Total","Total","Percentage","6.7",""
"1 hour or over","Greece","2014","Total","Total","Total","Percentage","37.9",""
"1 hour or over","Spain","2014","Total","Total","Total","Percentage","8.2",""
"1 hour or over","France","2014","Total","Total","Total","Percentage","11.3",""
"1 hour or over","Croatia","2014","Total","Total","Total","Percentage","26.2",""
"1 hour or over","Italy","2014","Total","Total","Total","Percentage","12.0",""
"1 hour or over","Cyprus","2014","Total","Total","Total","Percentage","11.0",""
